数据库：分省年度数据
指标：水资源总量(亿立方米)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,26.80,20.30,24.81,39.50,26.81,23.10,21.84,34.20,23.81,22.07
天津市,12.80,11.37,14.64,32.94,15.39,9.20,15.24,18.30,11.31,10.11
河北省,135.10,106.16,175.86,235.53,157.15,138.90,141.16,161.00,119.79,107.34
山西省,94.00,111.01,126.55,106.25,124.34,91.50,85.76,87.40,103.40,88.52
内蒙古自治区,537.00,537.79,959.81,510.25,419.00,388.50,378.15,412.10,295.86,411.29
辽宁省,179.00,145.93,463.17,547.30,294.79,606.70,170.96,266.00,261.72,261.36
吉林省,331.30,306.03,607.40,460.47,315.89,686.70,298.04,332.00,346.04,353.63
黑龙江省,814.10,944.34,1419.58,841.41,629.48,853.50,989.61,462.00,491.85,727.93
上海市,64.10,47.15,28.03,33.90,20.72,36.80,41.57,37.00,34.50,27.64
江苏省,582.10,399.34,283.53,373.33,492.40,383.50,400.31,378.00,495.71,404.40
浙江省,1407.10,1132.15,931.34,1444.79,744.96,1398.60,931.35,855.20,892.15,903.59
安徽省,914.10,778.48,585.59,701.00,602.25,922.80,733.10,699.30,712.46,580.50
福建省,1325.90,1219.62,1151.90,1511.44,774.85,1652.70,800.81,1036.90,1072.90,1623.48
江西省,2001.20,1631.81,1423.99,2174.36,1037.88,2275.50,1166.91,1356.20,1112.96,1629.97
山东省,168.40,148.44,291.70,274.30,347.63,309.10,284.95,328.70,387.11,199.32
河南省,287.20,283.36,213.07,265.54,327.97,534.90,328.77,371.30,465.18,321.78
湖北省,1015.60,914.29,790.15,813.88,757.54,1268.70,825.28,1033.90,1015.06,639.69
湖南省,1919.30,1799.43,1581.97,1988.94,1126.94,1906.60,1400.47,1600.00,1426.55,1770.29
广东省,1933.40,1718.45,2263.17,2026.55,1471.26,1998.80,1613.68,2206.80,1581.15,2216.17
广西壮族自治区,2433.60,1990.90,2057.33,2087.40,1350.02,1823.60,1484.31,2282.50,1386.26,1881.08
海南省,198.20,383.51,502.11,364.31,484.10,479.80,480.71,419.10,283.53,227.59
重庆市,456.20,642.58,474.35,476.89,514.58,464.30,455.92,576.90,662.96,380.32
四川省,2220.50,2557.66,2470.27,2892.36,2239.49,2575.30,2332.16,2489.90,2299.84,1865.84
贵州省,1153.70,1213.12,759.44,974.02,626.02,956.50,910.03,1140.70,1054.62,814.63
云南省,1871.90,1726.63,1706.69,1689.77,1480.20,1941.40,1576.60,2314.50,2255.52,1711.67
西藏自治区,3853.00,4416.30,4415.74,4196.35,4402.71,4593.00,4029.16,4560.20,4321.38,4157.14
陕西省,333.40,351.64,353.78,390.49,604.42,507.50,416.49,304.00,377.03,275.51
甘肃省,164.80,198.38,268.90,266.95,242.21,215.20,209.02,187.50,228.73,184.59
青海省,589.30,793.86,645.61,895.22,733.12,741.10,895.11,658.10,661.62,569.00
宁夏回族自治区,9.20,10.07,11.40,10.81,8.76,9.30,8.42,9.20,10.39,10.61
新疆维吾尔自治区,930.30,726.93,955.99,900.63,885.65,1113.10,754.31,815.60,863.77,953.10
数据来源：国家统计局
